iso3,name,Time,enrolment_primary_female,enrolment_lower-secondary_female,enrolment_upper-secondary_female,enrolment_upper-secondary_male,enrolment_primary_male,enrolment_lower-secondary_male,primary_female,primary_male,lower-secondary_female,lower-secondary_male,upper-secondary_female,upper-secondary_male,region,academic_break,closed,open,partially_closed,tv,radio,internet
AFG,Afghanistan,2018.0,2549573.0,708606.0,367543.0,713477.0,3995333.0,1274263.0,2549573.0,3995333.0,1401143.0,1476686.0,1289337.0,1360804.0,South Asia,32.0,115.0,55.0,33.0,True,True,True
ALB,Albania,2019.0,79342.0,65721.0,54469.0,62177.0,87762.0,73705.0,79342.0,87762.0,66387.0,77068.0,59256.0,66593.0,Eastern Europe and Central Asia,77.0,41.0,92.0,25.0,True,True,True
AIA,Anguilla,2019.0,745.0,306.0,187.0,199.0,767.0,320.0,745.0,767.0,306.0,320.0,197.0,200.0,Latin America and Caribbean,62.0,20.0,93.0,60.0,False,False,False
ATG,Antigua and Barbuda,2018.0,4981.0,2236.0,1576.0,1425.0,5142.0,2619.0,4981.0,5142.0,2236.0,2619.0,1576.0,1425.0,Latin America and Caribbean,64.0,78.0,2.0,91.0,True,False,False
ARG,Argentina,2018.0,2345904.0,1349677.0,949778.0,880337.0,2430548.0,1402392.0,2345904.0,2430548.0,1349677.0,1402392.0,1041265.0,1077217.0,Latin America and Caribbean,33.0,111.0,3.0,88.0,True,True,True
ARM,Armenia,2019.0,72405.0,79019.0,39873.0,41186.0,82004.0,88894.0,78611.0,89508.0,86960.0,99969.0,46802.0,54190.0,Eastern Europe and Central Asia,120.0,45.0,40.0,30.0,True,False,True
AUS,Australia,2018.0,1093901.0,618881.0,505206.0,548725.0,1153974.0,707150.0,1093901.0,1153974.0,618881.0,707150.0,505206.0,548725.0,East Asia and Pacific,37.0,0.0,73.0,125.0,True,False,True
AUT,Austria,2018.0,163950.33333,165707.16667,162145.97738,183989.12857,175071.5,175543.83333,163950.33333,175071.5,165707.16667,175543.83333,171623.0,181507.0,Western Europe,58.0,71.0,85.0,21.0,True,False,True
AZE,Azerbaijan,2019.0,303173.0,303523.0,146953.0,165870.0,342219.0,351108.0,304588.0,354410.0,303523.0,351108.0,178913.0,204330.0,Eastern Europe and Central Asia,88.0,111.0,0.0,36.0,True,False,True
BHR,Bahrain,2019.0,57026.0,26095.0,23866.0,25074.0,58793.0,26968.0,58346.0,59803.0,25797.0,28250.0,23415.0,27574.0,Middle East and North Africa,62.0,108.0,0.0,65.0,False,False,True
BGD,Bangladesh,2018.0,8799033.0,4685559.0,3668287.0,3704135.0,8539067.0,3811839.0,8799033.0,8539067.0,4519143.0,4721485.0,6153871.0,6437513.0,South Asia,33.0,198.0,4.0,0.0,True,True,True
BRB,Barbados,2019.0,9588.0,5428.0,4093.0,4005.0,10307.0,5595.0,9588.0,10307.0,5428.0,5595.0,4093.0,4005.0,Latin America and Caribbean,65.0,44.0,41.0,85.0,False,False,True
BLR,Belarus,2018.0,207528.0,220032.0,93567.0,104717.0,220224.0,231041.0,207528.0,220224.0,224831.0,237272.0,93567.0,104717.0,Eastern Europe and Central Asia,76.0,0.0,159.0,0.0,False,False,True
BEL,Belgium,2018.0,401366.0,213876.0,395759.0,354885.0,419870.0,214814.0,401366.0,419870.0,213876.0,214814.0,395759.0,354885.0,Western Europe,57.0,36.0,102.0,40.0,True,False,True
BLZ,Belize,2019.0,24318.0,14995.0,5294.0,4561.0,26070.0,15791.0,24318.0,26070.0,15322.0,15747.0,7948.0,8029.0,Latin America and Caribbean,74.0,70.0,8.0,83.0,True,True,True
BEN,Benin,2016.0,1080674.0,334297.0,86836.0,167209.0,1187161.0,404657.0,1080674.0,1187161.0,494041.0,507197.0,336075.0,344524.0,West and Central Africa,54.0,21.0,105.0,55.0,True,True,True
BTN,Bhutan,2018.0,45224.0,29130.0,10516.0,10571.0,46544.0,26004.0,45224.0,46544.0,27397.0,28290.0,14026.0,14888.0,South Asia,0.0,99.0,2.0,134.0,True,True,True
BOL,Bolivia (Plurinational State of),2019.0,676361.0,219068.0,383379.0,397240.0,710183.0,241858.0,688488.0,718775.0,226858.0,236573.0,448892.0,467467.0,Latin America and Caribbean,40.0,192.0,1.0,2.0,True,True,True
BRA,Brazil,2018.0,7665623.0,6470366.0,4912208.0,4611488.0,8286290.0,6869846.0,7665623.0,8286290.0,6470366.0,6869846.0,4706761.0,5014221.0,Latin America and Caribbean,34.0,191.0,1.0,9.0,True,False,True
BRN,Brunei Darussalam,2019.0,19055.0,6610.0,14462.0,14553.0,20181.0,7054.0,19055.0,20181.0,6610.0,7054.0,16411.0,17397.0,East Asia and Pacific,35.0,44.0,117.0,39.0,True,False,True
BGR,Bulgaria,2018.0,127437.0,96003.0,137297.0,151830.0,135298.0,104535.0,146159.0,154308.0,129770.0,137761.0,137297.0,151830.0,Eastern Europe and Central Asia,70.0,80.0,41.0,44.0,True,False,True
BFA,Burkina Faso,2019.0,1584455.0,540984.0,128129.0,167589.0,1649329.0,505441.0,1680533.0,1740168.0,957813.0,995492.0,635494.0,660069.0,West and Central Africa,85.0,48.0,81.0,21.0,True,True,True
BDI,Burundi,2019.0,1109607.0,206731.0,141159.0,137693.0,1102925.0,164686.0,1109607.0,1102925.0,380281.0,381674.0,340213.0,339950.0,Eastern and Southern Africa,58.0,0.0,177.0,0.0,False,False,False
CPV,Cabo Verde,2018.0,30655.0,16074.0,11790.0,9442.0,33472.0,16049.0,30655.0,33472.0,16074.0,16049.0,14841.0,15040.0,West and Central Africa,48.0,101.0,86.0,0.0,True,True,True
CMR,Cameroon,2016.0,2106417.0,715287.0,297642.0,368379.0,2374818.0,825570.0,2106417.0,2374818.0,1094136.0,1107079.0,732835.0,740518.0,West and Central Africa,69.0,40.0,73.0,53.0,True,True,True
CAN,Canada,2018.0,1173157.0,610265.0,688774.0,719840.0,1233849.0,635320.0,1173157.0,1233849.0,610265.0,635320.0,688774.0,719840.0,North America,70.0,66.0,2.0,97.0,True,False,True
CAF,Central African Republic,2016.0,354910.0,34707.0,12008.0,18127.0,458857.0,54041.0,354910.0,458857.0,237266.0,238072.0,157253.0,157884.0,West and Central Africa,38.0,67.0,78.0,52.0,False,True,False
TCD,Chad,2019.0,1077141.0,133086.0,53201.0,122671.0,1391643.0,228430.0,1380212.0,1387758.0,784970.0,787385.0,519804.0,522226.0,West and Central Africa,50.0,119.0,44.0,22.0,True,False,True
CHL,Chile,2018.0,745274.0,242799.0,505436.0,515352.0,794811.0,258558.0,745274.0,794811.0,242799.0,258558.0,505436.0,515352.0,Latin America and Caribbean,33.0,67.0,3.0,132.0,True,True,True
CHN,China,2019.0,48550691.0,21718203.0,18658551.0,20698641.0,55774553.0,25026302.0,48550691.0,55774553.0,22922777.0,26618285.0,23063343.0,26509506.0,East Asia and Pacific,51.0,33.0,75.0,76.0,True,False,True
COL,Colombia,2019.0,2048757.0,1737447.0,724387.0,665192.0,2215231.0,1781336.0,2048757.0,2215231.0,1737447.0,1781336.0,827320.0,863377.0,Latin America and Caribbean,59.0,115.0,3.0,58.0,True,True,True
COM,Comoros,2018.0,60975.0,25521.0,11905.0,11035.0,63265.0,25234.0,61329.0,63527.0,36054.0,37271.0,24886.0,25711.0,Eastern and Southern Africa,25.0,128.0,54.0,28.0,False,False,True
COD,"Congo, Democratic Republic of the",2015.0,6807874.0,852833.0,939341.0,1527898.0,6955322.0,1298823.0,6807874.0,6955322.0,1792709.0,1811710.0,3188187.0,3212411.0,West and Central Africa,22.0,107.0,61.0,45.0,True,True,True
COK,Cook Islands,2019.0,898.0,600.0,316.0,301.0,973.0,602.0,898.0,973.0,600.0,602.0,398.0,404.0,East Asia and Pacific,40.0,19.0,176.0,0.0,False,False,False
CRI,Costa Rica,2019.0,243688.0,146696.0,108935.0,97013.0,253377.0,151672.0,243688.0,253377.0,146696.0,151672.0,108935.0,97013.0,Latin America and Caribbean,42.0,189.0,4.0,0.0,True,True,True
CIV,Côte d'Ivoire,2019.0,1932299.0,747714.0,237061.0,331695.0,2071585.0,910673.0,1932299.0,2071585.0,1201340.0,1204879.0,837073.0,834754.0,West and Central Africa,63.0,34.0,106.0,32.0,True,True,True
HRV,Croatia,2018.0,78919.0,86712.0,78948.0,79006.0,82821.0,87794.0,83289.0,87678.0,86712.0,87794.0,85017.0,89619.0,Eastern Europe and Central Asia,55.0,40.0,130.0,10.0,True,False,True
CUB,Cuba,2019.0,358301.0,164093.0,213027.0,207844.0,392266.0,187035.0,358301.0,392266.0,181703.0,192410.0,213027.0,207844.0,Latin America and Caribbean,38.0,77.0,76.0,44.0,True,False,True
CYP,Cyprus,2018.0,27794.0,13224.0,13505.0,14635.0,29285.0,13602.0,27978.0,29218.0,13224.0,13602.0,13865.0,14420.0,Western Europe,83.0,48.0,67.0,37.0,True,False,True
CZE,Czechia,2018.0,284902.0,194118.0,190117.0,198561.0,298620.0,204318.0,284902.0,298620.0,198924.0,209453.0,190117.0,198561.0,Western Europe,54.0,68.0,31.0,82.0,True,False,True
DNK,Denmark,2018.0,227408.0,116591.0,142790.0,148007.0,240954.0,123859.0,227408.0,240954.0,116591.0,123859.0,142790.0,148007.0,Western Europe,44.0,37.0,115.0,39.0,False,False,True
