Country Name,Country Code,Series,Series Code,mrv
Afghanistan,AFG,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,708606
Afghanistan,AFG,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,1274263
Afghanistan,AFG,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,2549573
Afghanistan,AFG,"Enrolment in primary education, male (number)",UIS.E.1.M,3995333
Afghanistan,AFG,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,713477
Afghanistan,AFG,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,367543
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,19530000
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,18512000
Albania,ALB,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,65721
Albania,ALB,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,73705
Albania,ALB,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,79342
Albania,ALB,"Enrolment in primary education, male (number)",UIS.E.1.M,87762
Albania,ALB,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,62177
Albania,ALB,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,54469
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1460000
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1407000
Algeria,DZA,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,1523002
Algeria,DZA,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,1759556
Algeria,DZA,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,2160770
Algeria,DZA,"Enrolment in primary education, male (number)",UIS.E.1.M,2355801
Algeria,DZA,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,552212
Algeria,DZA,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,761505
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,21750000
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,21303000
American Samoa,ASM,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,..
American Samoa,ASM,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,..
American Samoa,ASM,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,3769
American Samoa,ASM,"Enrolment in primary education, male (number)",UIS.E.1.M,4115
American Samoa,ASM,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,..
American Samoa,ASM,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,..
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,..
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,..
