Country,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Afghanistan","AFG","National","AFGt","Total",,,,,,,,,,,,,,,,,,,31.6,,,,,50.8,,,,,
"Albania","ALB","National","ALBt","Total",,,,,,,,,,,,,,99.1,,,,98.9,,,,,,,,98.4,,,
"Algeria","DZA","National","DZAt","Total",,,,,,,,,,,92.5,,,,,,,,,,,97.0,,,,,,98.8,
"Angola","AGO","National","AGOt","Total",,,,,,,,,16.4,,,,,,,,,,,43.6,,,,,51.2,,,,
"Argentina","ARG","National","ARGt","Total",,,,,,,,,,,,,,,,,,,,95.9,,,,,,,,,
"Armenia","ARM","National","ARMt","Total",,,,,,,,,88.7,,,,,,,,,,98.7,,,,,,99.5,,,,
"Azerbaijan","AZE","National","AZEt","Total",,,,,,,,,,,,,,,76.4,,,,,,,,,,,,,,
"Bangladesh","BGD","National","BGDt","Total",,,,,10.7,,,,,,,,22.9,,,,,,,39.9,,,43.5,,,,,55.1,
"Barbados","BRB","National","BRBt","Total",,,,,,,,,,,,,,,,,,,,,97.3,,,,,,,,
"Belarus","BLR","National","BLRt","Total",,,,,,,,,,,,,,98.3,,,,,,,98.6,,,,,,,,
"Belize","BLZ","National","BLZt","Total",,,,,,,,,,,,,,,80.7,,,,,81.7,,,,,,,,,
"Benin","BEN","National","BENt","Total",,,,,10.5,,,,,15.6,,,,,22.6,,,,,37.4,,,,,,,28.7,,
"Bhutan","BTN","National","BTNt","Total",,,,,,,,,,,,,,,,,,,49.1,,,,,,,,,,
"Bolivia","BOL","National","BOLt","Total",,,,,,,62.1,,,,,60.4,,,,,68.8,,,,,,,,,,,,
"Bosnia and Herzegovina","BIH","National","BIHt","Total",,,,,,,,,,,,,,,95.1,,,,,98.7,,,,,,,,,
"Botswana","BWA","National","BWAt","Total",,,,,,,,,21.2,12.6,,,,,,,,,,54.0,,50.7,,,,,,,
"Brazil","BRA","National","BRAt","Total",,,,,78.2,,,,86.6,,,,,,,,,,95.1,,,,,,,,,,
